time added, angle, strength, distance
Wed Dec  2 23:20:15 2020, 0.0, 0, 0.0
Wed Dec  2 23:20:15 2020, 90.390625, 0, 0.0
Wed Dec  2 23:20:15 2020, 88.15625, 14, 361.75
Wed Dec  2 23:20:15 2020, 89.671875, 14, 358.75
Wed Dec  2 23:20:15 2020, 90.6875, 13, 357.75
Wed Dec  2 23:20:15 2020, 92.21875, 14, 356.25
Wed Dec  2 23:20:15 2020, 93.34375, 13, 356.75
Wed Dec  2 23:20:15 2020, 95.1875, 11, 354.25
Wed Dec  2 23:20:15 2020, 96.125, 13, 354.0
Wed Dec  2 23:20:15 2020, 97.46875, 13, 354.0
Wed Dec  2 23:20:15 2020, 99.0625, 12, 353.0
Wed Dec  2 23:20:15 2020, 100.640625, 13, 352.5
Wed Dec  2 23:20:15 2020, 101.390625, 14, 353.5
Wed Dec  2 23:20:15 2020, 103.234375, 13, 353.25
Wed Dec  2 23:20:15 2020, 104.515625, 15, 353.5
Wed Dec  2 23:20:15 2020, 109.296875, 0, 0.0
Wed Dec  2 23:20:15 2020, 110.640625, 0, 0.0
Wed Dec  2 23:20:15 2020, 111.984375, 0, 0.0
Wed Dec  2 23:20:15 2020, 113.328125, 0, 0.0
Wed Dec  2 23:20:15 2020, 114.65625, 0, 0.0
Wed Dec  2 23:20:15 2020, 116.015625, 15, 0.0
Wed Dec  2 23:20:15 2020, 109.609375, 15, 5689.0
Wed Dec  2 23:20:15 2020, 110.90625, 15, 7769.0
Wed Dec  2 23:20:15 2020, 112.25, 15, 7669.75
Wed Dec  2 23:20:15 2020, 113.625, 15, 6753.0
Wed Dec  2 23:20:15 2020, 114.96875, 15, 6645.0
Wed Dec  2 23:20:15 2020, 116.328125, 15, 6604.25
Wed Dec  2 23:20:15 2020, 117.6875, 15, 6548.25
Wed Dec  2 23:20:15 2020, 119.015625, 15, 6508.75
Wed Dec  2 23:20:15 2020, 120.375, 15, 6727.75
Wed Dec  2 23:20:15 2020, 121.703125, 15, 7175.0
Wed Dec  2 23:20:15 2020, 123.03125, 15, 7488.75
Wed Dec  2 23:20:15 2020, 124.390625, 15, 7468.0
Wed Dec  2 23:20:15 2020, 133.53125, 0, 0.0
Wed Dec  2 23:20:15 2020, 134.875, 0, 0.0
Wed Dec  2 23:20:15 2020, 128.53125, 9, 4738.0
Wed Dec  2 23:20:15 2020, 129.890625, 15, 5078.25
Wed Dec  2 23:20:15 2020, 138.859375, 0, 0.0
Wed Dec  2 23:20:15 2020, 140.21875, 0, 0.0
Wed Dec  2 23:20:15 2020, 141.5625, 0, 0.0
Wed Dec  2 23:20:15 2020, 142.90625, 0, 0.0
Wed Dec  2 23:20:15 2020, 136.5625, 15, 5073.5
Wed Dec  2 23:20:15 2020, 145.609375, 0, 0.0
Wed Dec  2 23:20:15 2020, 146.9375, 0, 0.0
Wed Dec  2 23:20:15 2020, 148.28125, 0, 0.0
Wed Dec  2 23:20:15 2020, 149.640625, 0, 0.0
Wed Dec  2 23:20:15 2020, 150.96875, 0, 0.0
Wed Dec  2 23:20:15 2020, 152.3125, 0, 0.0
Wed Dec  2 23:20:15 2020, 153.65625, 0, 0.0
Wed Dec  2 23:20:15 2020, 155.015625, 0, 0.0
Wed Dec  2 23:20:15 2020, 153.609375, 15, 303.0
Wed Dec  2 23:20:15 2020, 154.90625, 15, 298.75
Wed Dec  2 23:20:15 2020, 156.65625, 15, 299.0
Wed Dec  2 23:20:15 2020, 157.90625, 15, 298.25
Wed Dec  2 23:20:15 2020, 158.703125, 15, 299.75
Wed Dec  2 23:20:15 2020, 160.21875, 15, 303.25
Wed Dec  2 23:20:15 2020, 161.9375, 15, 310.0
Wed Dec  2 23:20:15 2020, 165.78125, 0, 0.0
Wed Dec  2 23:20:15 2020, 167.125, 0, 0.0
Wed Dec  2 23:20:15 2020, 168.46875, 0, 0.0
Wed Dec  2 23:20:15 2020, 169.8125, 15, 194.0
Wed Dec  2 23:20:15 2020, 171.15625, 15, 193.5
Wed Dec  2 23:20:15 2020, 165.890625, 15, 1190.5
Wed Dec  2 23:20:15 2020, 167.265625, 15, 1209.25
Wed Dec  2 23:20:15 2020, 175.046875, 0, 0.0
Wed Dec  2 23:20:15 2020, 170.546875, 15, 815.75
Wed Dec  2 23:20:15 2020, 171.921875, 15, 803.0
Wed Dec  2 23:20:15 2020, 173.296875, 15, 797.0
Wed Dec  2 23:20:15 2020, 174.5625, 10, 809.75
Wed Dec  2 23:20:15 2020, 175.96875, 15, 829.25
Wed Dec  2 23:20:15 2020, 177.109375, 15, 913.75
Wed Dec  2 23:20:15 2020, 178.40625, 15, 906.25
Wed Dec  2 23:20:15 2020, 179.6875, 15, 903.0
Wed Dec  2 23:20:15 2020, 181.09375, 15, 892.5
Wed Dec  2 23:20:15 2020, 182.453125, 15, 875.0
Wed Dec  2 23:20:15 2020, 183.8125, 15, 870.75
Wed Dec  2 23:20:15 2020, 185.125, 15, 878.75
Wed Dec  2 23:20:15 2020, 192.625, 0, 0.0
Wed Dec  2 23:20:15 2020, 193.96875, 0, 0.0
Wed Dec  2 23:20:15 2020, 189.0625, 15, 931.5
Wed Dec  2 23:20:15 2020, 190.328125, 15, 960.0
Wed Dec  2 23:20:15 2020, 191.75, 15, 974.25
Wed Dec  2 23:20:15 2020, 192.953125, 15, 1081.75
Wed Dec  2 23:20:15 2020, 194.21875, 15, 1082.25
Wed Dec  2 23:20:15 2020, 195.578125, 15, 1098.75
Wed Dec  2 23:20:15 2020, 203.359375, 0, 0.0
Wed Dec  2 23:20:15 2020, 203.328125, 10, 246.75
Wed Dec  2 23:20:15 2020, 206.046875, 0, 0.0
Wed Dec  2 23:20:15 2020, 207.390625, 0, 0.0
Wed Dec  2 23:20:15 2020, 208.734375, 0, 0.0
Wed Dec  2 23:20:15 2020, 210.09375, 0, 0.0
Wed Dec  2 23:20:15 2020, 211.4375, 0, 0.0
Wed Dec  2 23:20:15 2020, 212.78125, 0, 0.0
Wed Dec  2 23:20:15 2020, 214.109375, 0, 0.0
Wed Dec  2 23:20:15 2020, 215.453125, 0, 0.0
Wed Dec  2 23:20:15 2020, 216.796875, 0, 0.0
Wed Dec  2 23:20:15 2020, 218.140625, 0, 0.0
Wed Dec  2 23:20:15 2020, 219.484375, 0, 0.0
Wed Dec  2 23:20:15 2020, 220.828125, 0, 0.0
Wed Dec  2 23:20:15 2020, 222.1875, 0, 0.0
Wed Dec  2 23:20:15 2020, 223.515625, 0, 0.0
Wed Dec  2 23:20:15 2020, 224.875, 0, 0.0
Wed Dec  2 23:20:15 2020, 226.203125, 0, 0.0
Wed Dec  2 23:20:15 2020, 227.546875, 0, 0.0
Wed Dec  2 23:20:15 2020, 228.890625, 0, 0.0
Wed Dec  2 23:20:15 2020, 226.0625, 15, 427.0
Wed Dec  2 23:20:15 2020, 231.578125, 0, 0.0
Wed Dec  2 23:20:15 2020, 232.921875, 0, 0.0
Wed Dec  2 23:20:15 2020, 234.328125, 0, 0.0
Wed Dec  2 23:20:15 2020, 235.890625, 15, 0.0
Wed Dec  2 23:20:15 2020, 230.453125, 15, 1174.0
Wed Dec  2 23:20:15 2020, 231.796875, 15, 1179.0
Wed Dec  2 23:20:15 2020, 233.125, 15, 1180.0
Wed Dec  2 23:20:15 2020, 240.96875, 0, 0.0
Wed Dec  2 23:20:15 2020, 242.40625, 15, 0.0
Wed Dec  2 23:20:15 2020, 237.828125, 14, 798.5
Wed Dec  2 23:20:15 2020, 239.515625, 15, 671.0
Wed Dec  2 23:20:15 2020, 243.515625, 15, 309.5
Wed Dec  2 23:20:15 2020, 247.78125, 15, 223.25
Wed Dec  2 23:20:15 2020, 249.125, 15, 201.75
Wed Dec  2 23:20:15 2020, 250.71875, 15, 187.75
Wed Dec  2 23:20:15 2020, 252.328125, 15, 167.5
Wed Dec  2 23:20:15 2020, 253.65625, 15, 157.75
Wed Dec  2 23:20:15 2020, 255.015625, 15, 146.5
Wed Dec  2 23:20:15 2020, 255.84375, 0, 0.0
Wed Dec  2 23:20:15 2020, 257.203125, 0, 0.0
Wed Dec  2 23:20:15 2020, 258.59375, 0, 0.0
Wed Dec  2 23:20:15 2020, 259.953125, 0, 0.0
Wed Dec  2 23:20:15 2020, 261.28125, 0, 0.0
Wed Dec  2 23:20:15 2020, 262.640625, 0, 0.0
Wed Dec  2 23:20:15 2020, 263.984375, 0, 0.0
Wed Dec  2 23:20:15 2020, 265.34375, 0, 0.0
Wed Dec  2 23:20:15 2020, 266.671875, 0, 0.0
Wed Dec  2 23:20:15 2020, 268.03125, 0, 0.0
Wed Dec  2 23:20:15 2020, 269.375, 0, 0.0
Wed Dec  2 23:20:15 2020, 270.734375, 0, 0.0
Wed Dec  2 23:20:15 2020, 272.078125, 0, 0.0
Wed Dec  2 23:20:15 2020, 273.421875, 0, 0.0
Wed Dec  2 23:20:15 2020, 274.765625, 0, 0.0
Wed Dec  2 23:20:15 2020, 276.125, 0, 0.0
Wed Dec  2 23:20:15 2020, 277.484375, 0, 0.0
Wed Dec  2 23:20:15 2020, 278.828125, 0, 0.0
Wed Dec  2 23:20:15 2020, 280.171875, 0, 0.0
Wed Dec  2 23:20:15 2020, 281.515625, 0, 0.0
Wed Dec  2 23:20:15 2020, 282.78125, 0, 0.0
Wed Dec  2 23:20:15 2020, 284.125, 0, 0.0
Wed Dec  2 23:20:15 2020, 285.46875, 0, 0.0
Wed Dec  2 23:20:15 2020, 286.8125, 0, 0.0
Wed Dec  2 23:20:15 2020, 288.15625, 0, 0.0
Wed Dec  2 23:20:15 2020, 289.5, 0, 0.0
Wed Dec  2 23:20:15 2020, 290.84375, 0, 0.0
Wed Dec  2 23:20:15 2020, 292.1875, 0, 0.0
Wed Dec  2 23:20:15 2020, 293.53125, 0, 0.0
Wed Dec  2 23:20:15 2020, 294.875, 0, 0.0
Wed Dec  2 23:20:15 2020, 296.21875, 0, 0.0
Wed Dec  2 23:20:15 2020, 297.5625, 0, 0.0
Wed Dec  2 23:20:15 2020, 298.90625, 0, 0.0
Wed Dec  2 23:20:15 2020, 300.25, 0, 0.0
Wed Dec  2 23:20:15 2020, 301.59375, 0, 0.0
Wed Dec  2 23:20:15 2020, 302.9375, 0, 0.0
Wed Dec  2 23:20:15 2020, 304.28125, 0, 0.0
Wed Dec  2 23:20:15 2020, 305.625, 0, 0.0
Wed Dec  2 23:20:15 2020, 307.03125, 0, 0.0
Wed Dec  2 23:20:15 2020, 308.390625, 0, 0.0
Wed Dec  2 23:20:15 2020, 309.734375, 0, 0.0
Wed Dec  2 23:20:15 2020, 311.078125, 0, 0.0
Wed Dec  2 23:20:15 2020, 312.421875, 0, 0.0
Wed Dec  2 23:20:15 2020, 313.765625, 0, 0.0
Wed Dec  2 23:20:15 2020, 315.109375, 0, 0.0
Wed Dec  2 23:20:15 2020, 316.453125, 0, 0.0
Wed Dec  2 23:20:15 2020, 317.8125, 0, 0.0
Wed Dec  2 23:20:15 2020, 319.15625, 0, 0.0
Wed Dec  2 23:20:15 2020, 320.40625, 0, 0.0
Wed Dec  2 23:20:15 2020, 321.75, 0, 0.0
Wed Dec  2 23:20:15 2020, 323.09375, 0, 0.0
Wed Dec  2 23:20:15 2020, 324.4375, 0, 0.0
Wed Dec  2 23:20:15 2020, 325.78125, 0, 0.0
Wed Dec  2 23:20:15 2020, 319.828125, 15, 2509.25
Wed Dec  2 23:20:15 2020, 321.296875, 15, 2089.25
Wed Dec  2 23:20:15 2020, 330.015625, 0, 0.0
Wed Dec  2 23:20:15 2020, 324.296875, 15, 1981.75
Wed Dec  2 23:20:15 2020, 325.40625, 15, 2055.0
Wed Dec  2 23:20:15 2020, 326.734375, 15, 2210.0
Wed Dec  2 23:20:15 2020, 328.0625, 15, 2273.25
Wed Dec  2 23:20:15 2020, 336.75, 0, 0.0
Wed Dec  2 23:20:15 2020, 330.765625, 15, 2303.5
Wed Dec  2 23:20:15 2020, 332.046875, 15, 2400.75
Wed Dec  2 23:20:15 2020, 333.640625, 15, 1894.5
Wed Dec  2 23:20:15 2020, 335.171875, 15, 1885.25
Wed Dec  2 23:20:15 2020, 336.171875, 15, 2184.0
Wed Dec  2 23:20:15 2020, 337.625, 15, 1956.75
Wed Dec  2 23:20:15 2020, 346.265625, 15, 0.0
Wed Dec  2 23:20:15 2020, 347.625, 15, 0.0
Wed Dec  2 23:20:15 2020, 341.609375, 15, 2138.5
Wed Dec  2 23:20:15 2020, 342.859375, 15, 2552.25
Wed Dec  2 23:20:15 2020, 344.1875, 15, 2569.25
Wed Dec  2 23:20:15 2020, 346.140625, 15, 1517.25
Wed Dec  2 23:20:15 2020, 354.28125, 0, 0.0
Wed Dec  2 23:20:15 2020, 355.625, 15, 0.0
Wed Dec  2 23:20:15 2020, 350.296875, 15, 1192.75
Wed Dec  2 23:20:15 2020, 351.734375, 15, 1220.75
Wed Dec  2 23:20:15 2020, 353.234375, 15, 1091.75
Wed Dec  2 23:20:15 2020, 354.703125, 15, 965.75
Wed Dec  2 23:20:15 2020, 2.359375, 0, 0.0
Wed Dec  2 23:20:15 2020, 359.8125, 15, 376.75
Wed Dec  2 23:20:15 2020, 1.09375, 15, 384.25
Wed Dec  2 23:20:15 2020, 2.578125, 15, 386.25
Wed Dec  2 23:20:15 2020, 3.828125, 15, 378.25
Wed Dec  2 23:20:15 2020, 5.265625, 15, 381.5
Wed Dec  2 23:20:15 2020, 10.453125, 0, 0.0
Wed Dec  2 23:20:15 2020, 12.03125, 11, 0.0
Wed Dec  2 23:20:15 2020, 8.703125, 11, 464.75
Wed Dec  2 23:20:15 2020, 9.828125, 14, 473.0
Wed Dec  2 23:20:15 2020, 15.71875, 0, 0.0
Wed Dec  2 23:20:15 2020, 12.34375, 14, 497.25
Wed Dec  2 23:20:15 2020, 13.359375, 10, 507.0
Wed Dec  2 23:20:15 2020, 14.921875, 12, 528.0
Wed Dec  2 23:20:15 2020, 16.15625, 14, 548.0
Wed Dec  2 23:20:15 2020, 22.4375, 0, 0.0
Wed Dec  2 23:20:15 2020, 23.78125, 0, 0.0
Wed Dec  2 23:20:15 2020, 25.125, 0, 0.0
Wed Dec  2 23:20:15 2020, 21.234375, 12, 630.25
Wed Dec  2 23:20:15 2020, 22.421875, 14, 661.75
Wed Dec  2 23:20:15 2020, 29.15625, 0, 0.0
Wed Dec  2 23:20:15 2020, 30.90625, 15, 0.0
Wed Dec  2 23:20:15 2020, 25.75, 15, 940.25
Wed Dec  2 23:20:15 2020, 27.171875, 15, 940.25
Wed Dec  2 23:20:15 2020, 28.578125, 15, 906.5
Wed Dec  2 23:20:15 2020, 35.9375, 0, 0.0
Wed Dec  2 23:20:15 2020, 31.25, 15, 882.75
Wed Dec  2 23:20:15 2020, 38.59375, 0, 0.0
Wed Dec  2 23:20:15 2020, 39.9375, 0, 0.0
Wed Dec  2 23:20:15 2020, 35.375, 15, 885.75
Wed Dec  2 23:20:15 2020, 36.6875, 15, 879.5
Wed Dec  2 23:20:15 2020, 38.078125, 15, 875.0
Wed Dec  2 23:20:15 2020, 39.453125, 15, 869.25
